id,language,code,label
1,C++,"#include<iostream>
#include<iomanip>       //マニピュレータの使用
using namespace std;

int main()
{
    double a, b ,c ,d ,e ,f;
    double x, y;

    while( cin >> a >> b >> c >> d >> e >> f )
    {
        y = ( c * d - a * f ) / ( d * b - a * e );   //y = (cd - af) / (db - ae)
        x = ( c - b * y ) / a;                       //x = (c -  by) / a

        cout << fixed;      //より正確に小数点以下の桁数を指定する.　setprecision(2)なら小数点3ケタを四捨五入して、小数点2桁きっちり表示
        cout << setprecision(3) << x << "" "" << y << endl;
    }

    return 0;
}
",0
2,C++,"#include <cstdio>

using namespace std;

int main()
{
  double a, b, c, d, e, f;
  while(scanf(""%lf%lf%lf%lf%lf%lf"", &a, &b, &c, &d, &e, &f) != -1){
    double y = 0, x = 0;
    double g = e * a;
    double h = f * a;
    double i = b * d;
    double j = c * d;
    double k = i - g;
    double l = j - h;
    y = l / k;
    x = (c - b*y) / a;

    printf(""%.3lf %.3lf\n"", x, y);
  }
  return 0;
}",0
3,C++,"#include<iostream>
#include <cstdio>
using namespace std;

int main(){
    double a, b, c, d, e, f;
    double x, y;
    while(cin >> a >> b >> c>>d>>e>>f){
        y = (a*f-d*c)/(a*e-b*d);
        x = (c-b*y)/a;
        printf(""%.3f %.3f\n"", x, y);
    }
}",0
4,C++,"#include    <iostream>
#include    <cstdio>
#include    <cmath>
 
using namespace std;

double calc_Det(double, double, double, double);
 
int main() {
    double a, b, c, d, e, f;
    double x, y;
 
    while (cin >> a >> b >> c >> d >> e >> f) {
        x = (double)calc_Det(c, b, f, e) / calc_Det(a, b, d, e);
        y = (double)calc_Det(a, c, d, f) / calc_Det(a, b, d, e);

        if (fabs(x) < 1e-3) { x = 0.0; }
        if (fabs(y) < 1e-3) { y = 0.0; }
        printf(""%.3f %.3f\n"", x, y);
    }
}
 
double calc_Det(double a, double b, double c, double d) {
    return a*d - b*c;
}
",0
5,C++,"/* All men have limits. They learn what they are and learn
   not to exceed them, I ignore mine. -Batman           */
#include <bits/stdc++.h>
//#include <iostream>
//#include <vector>
//#include <Windows.h>
using namespace std;

int main(){
int a,b,c,d,e,f;
double x,y;
while(cin>>a>>b>>c>>d>>e>>f){
	x=(double)(c*e-f*b)/(a*e-d*b);
	y=(double)(c*d-f*a)/(b*d-e*a);
	if(x>-0.001&&y>-0.001)printf(""%.3lf %.3lf\n"",abs(x),abs(y));
	else if(x>-0.001)printf(""%.3lf %.3lf\n"",abs(x),y);
	else if(y>-0.001)printf(""%.3lf %.3lf\n"",x,abs(y));
	else printf(""%.3lf %.3lf\n"",x,y);
		
}
return 0;
}",0
6,C++,"#include <iostream>
#include <iomanip>
using namespace std;

double trunc(double d) {
    d *= 1000;

    if (d < 0) {
        d -= 0.5;
    } else {
        d += 0.5;
    }

    return d / 1000;
}

int main() {

    double a, b, c, d, e, f;
    while (cin >> a >> b >> c >> d >> e >> f) {
        double x = (b * f - c * e) / (b * d - a * e);
        double y = (d * c - a * f) / (b * d - a * e);

        if (x == -0.000) x = 0.0;
        if (y == -0.000) y = 0.0;

        cout << fixed << setprecision(3) << x << "" "" << y << endl;
    }

    return 0;
}",0
7,C++,"#include <cstdio>
#include <cmath>

using namespace std;

int main() {
    double a, b, c, d, e, f;
    double x, y;
    while (scanf(""%lf %lf %lf %lf %lf %lf"",&a,&b,&c,&d,&e,&f) != EOF) {
    	y = (c*d-f*a) / (b*d-e*a);
    	if (isnan(y)) y=0; 
    	x = (c-b*y) / a;
    	if (isnan(x)) x=0;
    	
    	printf(""%.3f %.3f\n"", x, y);
    }
}",0
8,C++,"#include <iostream>
#include <cmath>
#include <iomanip> 
using namespace std;

double round(double x, int k) {
  double res = x * pow(10, k) + 0.5;
  res = (double)(int)res;
  res = res * pow(0.1, k);
  return res;
}

int main() {
  double a, b, c, d, e, f;
  while (cin >> a >> b >> c >> d >> e >> f) {
    double det = a*e - b*d;
    double x = (e * c - b * f)/det;
    double y = (-1*d * c + a * f)/det;
    cout << fixed << setprecision(3) << round(x, 4) 
	 << "" "" << round(y, 4) << endl;
  }
}",0
9,C++,"#include <iostream>
using namespace std;
int main(){
	double a,b,c,d,e,f,g;
	double x,y;
	while(cin>>a>>b>>c>>d>>e>>f){
		g=a*e-b*d;
		x=(c*e-b*f)/g;if(!x)x=0;
		y=(a*f-c*d)/g;if(!y)y=0;
		printf(""%.3f %.3f\n"",x,y);
	}
}",0
10,C++,"#include <iostream>
#include <cstdio>
using namespace std;

int main() {
  double m[2][3], x[2];
  double a, b, c, d, e, f;
  int p, q;
  bool zf;
  while (cin>>m[0][0]>>m[0][1]>>m[0][2]>>m[1][0]>>m[1][1]>>m[1][2]) {
    zf = false;
    for (int i=0;i<2;i++) {
      for (int j=0;j<2;j++) {
        if (m[i][j] == 0) {
          p = i; q = j;
          zf = true;
        }
      }
    }
    if (zf) {
      x[1-q] = m[p][2] / m[p][1-q];
      x[q] = (m[1-p][2] - m[1-p][1-q] * x[1-q]) / m[1-p][q];
    } else {
      a = m[0][0]; b = m[0][1]; c = m[0][2];
      d = m[1][0]; e = m[1][1]; f = m[1][2];
      x[1] = (f - d*c/a) / (e - d*b/a);
      x[0] = (c - b*x[1]) / a;
    }

    printf(""%.3f %.3f\n"", x[0], x[1]);
  }
  return 0;
}",0
11,C++,"#include <stdio.h>
#include <math.h>

int main(void) {
	float a,b,c,d,e,f;
	
	while(scanf(""%f%f%f%f%f%f"",&a,&b,&c,&d,&e,&f) != EOF){
		float by = d/a,x,y;
		y = (c*by-f)/(b*by-e);
		x = (c - b*y)/a;
		printf(""%.3f %.3f\n"",x,y);
	}
	
	return 0;
}",0
12,C++,"#include<cstdio>
#include<cmath>
int main(){
    double a[6];
    double x,y;
    for(;;){
        for(int i=0;i<6;i++){
            if(scanf(""%lf"",&a[i])==-1)return 0;
        }
        if(a[0]==0){
            y=a[2]/a[1];
            x=(a[5]-a[4]*y)/a[3];
        }else if(a[1]==0){
            x=a[2]/a[0];
            y=(a[5]-a[3]*x)/a[4];
        }else if(a[3]==0){
            y=a[5]/a[4];
            x=(a[2]-a[1]*y)/a[0];
        }else if(a[4]==0){
            x=a[5]/a[3];
            y=(a[2]-a[0]*x)/a[1];
        }else{
            y=(a[2]-(a[5]*(a[0]/a[3])))/(a[1]-(a[4]*(a[0]/a[3])));
            x=(a[2]-a[1]*y)/a[0];
        }
        printf(""%.3lf %.3lf\n"",rint(x*1000)/1000.0,rint(y*1000)/1000.0);
    }
}",0
